record_id,incident_text,gold_category,gold_severity,gold_pii,annotator_a_category,annotator_a_severity,annotator_b_category,annotator_b_severity,adjudicated_category,adjudicated_severity,edge_case_note
NA-001,User is locked out after three failed sign-in attempts.,ACCESS,S3,NO,ACCESS,S3,ACCESS,S3,ACCESS,S3,
NA-002,Remote staff lose VPN connectivity every ten minutes.,CONNECTIVITY,S2,NO,CONNECTIVITY,S2,CONNECTIVITY,S2,CONNECTIVITY,S2,
NA-003,Employee opened a suspicious attachment and endpoint alerts began.,SECURITY,S2,NO,SECURITY,S2,SECURITY,S2,SECURITY,S2,
NA-004,Laptop display flickers when the hinge moves.,HARDWARE,S3,NO,HARDWARE,S3,HARDWARE,S3,HARDWARE,S3,
NA-005,Payroll application closes immediately after launch.,SOFTWARE,S2,NO,SOFTWARE,S2,REQUEST,S2,SOFTWARE,S2,Reviewed during adjudication; precedence rule applied.
NA-006,Create read-only access to a new shared drive for the audit group.,REQUEST,S4,NO,REQUEST,S4,REQUEST,S3,REQUEST,S4,
NA-007,MFA push never arrives on the registered device.,ACCESS,S3,NO,CONNECTIVITY,S3,ACCESS,S3,ACCESS,S3,Reviewed during adjudication; precedence rule applied.
NA-008,One desk has no wired connection while adjacent desks are online.,CONNECTIVITY,S3,NO,CONNECTIVITY,S3,CONNECTIVITY,S3,CONNECTIVITY,S3,
NA-009,[TOKEN] was posted in a public repository and may be active.,SECURITY,S1,YES,SECURITY,S2,SECURITY,S1,SECURITY,S1,
NA-010,Desktop does not power on after a confirmed outlet test.,HARDWARE,S3,NO,HARDWARE,S3,HARDWARE,S3,HARDWARE,S3,
NA-011,Approved browser extension was disabled after an update.,SOFTWARE,S3,NO,SOFTWARE,S3,SOFTWARE,S3,SOFTWARE,S3,
NA-012,New employee needs a standard laptop for next Monday.,REQUEST,S4,NO,REQUEST,S4,ACCESS,S4,REQUEST,S4,Reviewed during adjudication; precedence rule applied.
NA-013,Administrator permissions disappeared after a role change.,ACCESS,S2,NO,ACCESS,S2,ACCESS,S2,ACCESS,S2,
NA-014,Public DNS resolution fails for all external services.,CONNECTIVITY,S1,NO,CONNECTIVITY,S1,CONNECTIVITY,S1,CONNECTIVITY,S1,
NA-015,Unknown device signed into an executive mailbox overnight.,SECURITY,S2,NO,SECURITY,S2,SECURITY,S2,SECURITY,S2,
