week_start,team,active_staff,hours_worked,tasks_completed,accepted_first_pass,reworked,tasks_within_sla,avg_handle_minutes,escalations,capacity_target,high_risk_flags
2026-05-18,US English,12,338,2756,2621,113,2652,6.5,5,2907,0
2026-05-18,Spanish,10,288,2212,2069,120,2098,7.7,6,2275,0
2026-05-18,Technical,8,218,1417,1347,59,1355,8.5,7,1482,0
2026-05-18,General QA,6,174,1150,1060,76,1068,8.3,4,1253,0
2026-05-25,US English,12,339,2674,2543,110,2554,6.7,7,2915,0
2026-05-25,Spanish,9,256,1846,1726,101,1757,7.7,2,2022,0
2026-05-25,Technical,7,201,1287,1237,42,1235,9.1,9,1367,0
2026-05-25,General QA,6,169,1227,1129,82,1145,8.2,7,1217,0
2026-06-01,US English,12,343,3042,2889,129,2923,7.0,8,2950,1
2026-06-01,Spanish,9,249,1950,1807,120,1836,7.3,4,1967,0
2026-06-01,Technical,7,197,1254,1198,47,1198,8.9,4,1340,0
2026-06-01,General QA,6,173,1281,1181,84,1195,8.4,7,1246,0
2026-06-08,US English,12,326,2702,2542,134,2586,6.7,7,2804,0
2026-06-08,Spanish,10,275,2225,2082,120,2126,7.7,6,2173,0
2026-06-08,Technical,7,191,1321,1272,41,1270,8.7,2,1299,0
2026-06-08,General QA,6,174,1158,1066,77,1089,8.5,6,1253,0
2026-06-15,US English,11,301,2429,2285,121,2328,6.8,3,2589,0
2026-06-15,Spanish,9,252,1886,1769,98,1779,7.1,7,1991,1
2026-06-15,Technical,7,191,1195,1151,37,1148,8.7,7,1299,1
2026-06-15,General QA,7,194,1298,1140,133,1169,9.3,7,1397,2
2026-06-22,US English,12,348,2872,2729,120,2766,6.9,8,2993,0
2026-06-22,Spanish,9,249,1838,1721,98,1754,7.3,7,1967,0
2026-06-22,Technical,7,201,1260,1214,39,1202,8.7,8,1367,0
2026-06-22,General QA,6,167,1128,988,118,1020,9.1,9,1202,2
2026-06-29,US English,12,329,2928,2767,135,2822,6.7,8,2829,0
2026-06-29,Spanish,9,259,2015,1873,119,1921,7.3,6,2046,0
2026-06-29,Technical,7,201,1368,1309,50,1316,8.7,6,1367,0
2026-06-29,General QA,7,198,1341,1178,137,1198,9.3,8,1426,2
2026-07-06,US English,12,337,2954,2816,116,2863,6.7,6,2898,1
2026-07-06,Spanish,9,252,1860,1728,111,1756,7.7,5,1991,0
2026-07-06,Technical,6,171,1089,1044,38,1034,8.7,8,1163,0
2026-07-06,General QA,6,171,1202,1099,87,1130,8.3,2,1231,0
2026-07-13,US English,12,344,2914,2778,114,2804,7.2,9,2958,0
2026-07-13,Spanish,10,277,2216,2067,125,2088,7.4,8,2188,0
2026-07-13,Technical,6,167,1246,1190,47,1194,8.8,6,1136,1
2026-07-13,General QA,6,172,1151,1053,82,1084,7.8,6,1238,0
2026-07-20,US English,13,355,3164,3015,125,3040,6.7,3,3053,0
2026-07-20,Spanish,10,276,2092,1945,123,1989,7.4,5,2180,0
2026-07-20,Technical,7,199,1472,1407,55,1416,9.0,7,1353,0
2026-07-20,General QA,6,173,1194,1102,77,1114,8.0,5,1246,0
2026-07-27,US English,12,331,2864,2702,136,2777,6.7,8,2847,0
2026-07-27,Spanish,9,247,2000,1874,106,1894,7.1,4,1951,0
2026-07-27,Technical,7,197,1234,1173,51,1174,8.6,4,1340,0
2026-07-27,General QA,6,174,1189,1082,90,1114,7.8,3,1253,1
2026-08-03,US English,12,346,3071,2898,145,2946,6.5,7,2976,0
2026-08-03,Spanish,9,250,1883,1740,120,1789,7.4,8,1975,1
2026-08-03,Technical,7,199,1265,1220,38,1200,8.4,7,1353,0
2026-08-03,General QA,6,167,1218,1113,88,1132,8.4,5,1202,0
